indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,COL,2014,35.42498,,
FRESP.THC,COL,2015,35.44884,,
FRESP.THC,COL,2016,37.36923,,
FRESP.THC,COL,2017,37.36923,,
FRESP.THC,COL,2018,38.1698,,
FRESP.THC,COL,2019,38.1698,,
FRESP.THC,COM,2021,11.58537,,
FRESP.THC,CPV,2014,45.75163,,
FRESP.THC,CRI,2012,44.573,,
FRESP.THC,CRI,2013,43.78558,,
FRESP.THC,CRI,2014,44.278,,
FRESP.THC,CRI,2015,42.14759,,
FRESP.THC,CRI,2016,42.80566,,
FRESP.THC,CRI,2017,44.34011,,
FRESP.THC,CRI,2018,45.22613,,
FRESP.THC,CRI,2020,42.98653,,
FRESP.THC,CRI,2021,44.0678,,
FRESP.THC,CRI,2022,44.84663,,
FRESP.THC,CUB,2012,48.35661,,
FRESP.THC,CUB,2013,47.06506,,
FRESP.THC,CUB,2014,48.17451,,
FRESP.THC,CUB,2015,51.54425,,
FRESP.THC,CUB,2016,48.04796,,
FRESP.THC,CUB,2017,48.99971,,
FRESP.THC,CYP,2012,37.31809,,
FRESP.THC,CYP,2013,38.33034,,
FRESP.THC,CYP,2014,38.17006,,
FRESP.THC,CYP,2015,37.94243,,
FRESP.THC,CYP,2016,37.28191,,
FRESP.THC,CYP,2017,38.05685,,
FRESP.THC,CYP,2018,37.29261,,
FRESP.THC,CYP,2019,37.61246,,
FRESP.THC,CYP,2020,37.99934,,
FRESP.THC,CYP,2021,38.71287,,
FRESP.THC,CZE,2012,27.49506,,
FRESP.THC,CZE,2013,28.25226,,
FRESP.THC,CZE,2014,27.18626,,
FRESP.THC,CZE,2015,26.94514,,
FRESP.THC,CZE,2016,26.65003,,
FRESP.THC,CZE,2017,26.76882,,
FRESP.THC,CZE,2018,26.56457,,
FRESP.THC,CZE,2019,27.18323,,
FRESP.THC,CZE,2020,27.59806,,
FRESP.THC,CZE,2021,27.10107,,
FRESP.THC,CZE,2022,27.68677,,
FRESP.THC,DEU,2013,27.94862,,
FRESP.THC,DEU,2015,28.00096,,
FRESP.THC,DEU,2017,27.87563,,
FRESP.THC,DEU,2019,28.05404,,
FRESP.THC,DEU,2021,29.35781,,
FRESP.THC,DNK,2012,35.41232,,
FRESP.THC,DNK,2013,35.24604,,
FRESP.THC,DNK,2015,33.83753,,
